state_name,total_bans,unique_titles_banned,unique_districts,school_years,has_lgbtq,has_race,has_sexual,has_violence,has_mental,has_religion,has_age,population,bans_per_100k,titles_per_100k,pct_lgbtq,pct_race,pct_sexual,pct_violence,pct_mental,pct_religion,pct_age
Missouri,419,343,18,4,57,32,91,109,73,6,132,6168181.0,6.79292647216416,5.560796610864695,13.60381861575179,7.637231503579953,21.71837708830549,26.014319809069214,17.42243436754177,1.431980906921241,31.5035799522673
Montana,3,3,1,1,2,0,2,2,0,0,2,1105072.0,0.2714755237667772,0.2714755237667772,66.66666666666666,0.0,66.66666666666666,66.66666666666666,0.0,0.0,66.66666666666666
Nation,590,590,1,1,353,81,104,54,68,3,342,,,,59.83050847457627,13.728813559322035,17.627118644067796,9.152542372881356,11.525423728813559,0.5084745762711864,57.96610169491525
Nebraska,6,6,1,1,1,1,1,2,3,0,4,1965926.0,0.3051996870685875,0.3051996870685875,16.666666666666664,16.666666666666664,16.666666666666664,33.33333333333333,50.0,0.0,66.66666666666666
New Hampshire,2,2,2,2,1,1,0,0,1,0,1,1387834.0,0.14410945401251157,0.14410945401251157,50.0,50.0,0.0,0.0,50.0,0.0,50.0
New Jersey,7,7,7,3,1,5,1,2,0,0,4,9267014.0,0.07553673707625778,0.07553673707625778,14.285714285714285,71.42857142857143,14.285714285714285,28.57142857142857,0.0,0.0,57.14285714285714
New York,25,19,9,3,9,9,13,3,10,1,13,19872319.0,0.12580313349438482,0.09561038145573247,36.0,36.0,52.0,12.0,40.0,4.0,52.0
North Carolina,137,102,16,4,25,24,57,32,40,0,104,10584340.0,1.294365071416829,0.9636878633906317,18.248175182481752,17.51824817518248,41.605839416058394,23.357664233576642,29.1970802919708,0.0,75.91240875912408
North Dakota,27,27,1,1,2,1,14,10,12,0,26,779361.0,3.464376585433451,3.464376585433451,7.4074074074074066,3.7037037037037033,51.85185185185185,37.03703703703704,44.44444444444444,0.0,96.29629629629629
Ohio,7,7,2,2,5,0,2,0,1,0,3,11780046.0,0.059422518384053845,0.059422518384053845,71.42857142857143,0.0,28.57142857142857,0.0,14.285714285714285,0.0,42.857142857142854
Oklahoma,45,43,4,2,6,7,10,15,10,1,35,3995260.0,1.1263347066273535,1.0762753863328045,13.333333333333334,15.555555555555555,22.22222222222222,33.33333333333333,22.22222222222222,2.2222222222222223,77.77777777777779
Oregon,61,57,7,4,21,6,30,17,13,0,43,4238714.0,1.4391157317997865,1.3447474870916039,34.42622950819672,9.836065573770492,49.18032786885246,27.86885245901639,21.311475409836063,0.0,70.49180327868852
Pennsylvania,737,695,23,4,82,206,118,81,76,12,499,12986518.0,5.675116301382711,5.3517039748452975,11.12618724559023,27.951153324287652,16.010854816824967,10.990502035278155,10.312075983717776,1.6282225237449117,67.70691994572591
Rhode Island,1,1,1,1,1,0,0,0,0,0,0,1095371.0,0.0912932695862863,0.0912932695862863,100.0,0.0,0.0,0.0,0.0,0.0,0.0
South Carolina,197,133,9,4,41,21,98,59,49,6,151,5212774.0,3.7791778427378593,2.551424634944849,20.812182741116754,10.65989847715736,49.746192893401016,29.949238578680205,24.873096446700508,3.0456852791878175,76.6497461928934
South Dakota,7,6,2,2,2,1,2,1,2,0,2,899194.0,0.7784749453399379,0.6672642388628038,28.57142857142857,14.285714285714285,28.57142857142857,14.285714285714285,28.57142857142857,0.0,28.57142857142857
Tennessee,2016,1687,16,4,430,123,608,482,259,55,1219,6986082.0,28.857376709863985,24.14801314957368,21.32936507936508,6.101190476190476,30.158730158730158,23.908730158730158,12.847222222222221,2.7281746031746033,60.466269841269835
Texas,3744,2366,36,4,1225,235,1223,787,559,63,2647,29640343.0,12.631432773905484,7.98236376684305,32.7190170940171,6.276709401709402,32.66559829059829,21.020299145299145,14.930555555555555,1.6826923076923077,70.69978632478633
Utah,351,176,12,4,61,33,165,118,84,5,221,3331187.0,10.53678463562688,5.283401982536556,17.37891737891738,9.401709401709402,47.008547008547005,33.61823361823362,23.931623931623932,1.4245014245014245,62.96296296296296
Vermont,1,1,1,1,1,0,1,0,1,0,0,645254.0,0.15497772970024207,0.15497772970024207,100.0,0.0,100.0,0.0,100.0,0.0,0.0
Virginia,312,212,17,4,67,35,137,81,85,7,205,8657499.0,3.6038121402035395,2.4487441465485587,21.474358974358974,11.217948717948719,43.91025641025641,25.961538461538463,27.24358974358974,2.2435897435897436,65.7051282051282
Washington,5,4,3,1,5,0,5,0,3,0,2,7740984.0,0.06459127160061305,0.051673017280490445,100.0,0.0,100.0,0.0,60.0,0.0,40.0
West Virginia,2,2,1,1,1,0,2,0,1,0,1,1784462.0,0.11207859847954174,0.11207859847954174,50.0,0.0,100.0,0.0,50.0,0.0,50.0
Wisconsin,482,397,16,4,81,37,208,155,87,16,327,5892023.0,8.180551908911422,6.7379234602444695,16.804979253112034,7.676348547717843,43.15352697095436,32.15767634854772,18.04979253112033,3.319502074688797,67.84232365145229
Wyoming,65,56,3,3,18,3,35,19,24,0,43,579761.0,11.211516469717694,9.659152650833706,27.692307692307693,4.615384615384616,53.84615384615385,29.230769230769234,36.92307692307693,0.0,66.15384615384615
