goodreads_id,goodreads_url,avg_rating,rating_count,review_count,scrape_status,dist_5_star_raw,count_5_star,pct_5_star,dist_4_star_raw,count_4_star,pct_4_star,dist_3_star_raw,count_3_star,pct_3_star,dist_2_star_raw,count_2_star,pct_2_star,dist_1_star_raw,count_1_star,pct_1_star,book_title,author,polarization,rating_skew,http_status,is_study_guide,log_rating_count,data_quality,pen_genre,total_ban_instances,states_banned_in
5094,https://www.goodreads.com/book/show/5094,4.24,291556.0,12157.0,ok,"130,839 (44%)",130839.0,44.0,"110,939 (38%)",110939.0,38.0,"40,146 (13%)",40146.0,13.0,"7,471 (2%)",7471.0,2.0,"2,161 (<1%)",,,The Drawing of the Three,"King, Stephen",0.44,0.44,,False,5.464721983298064,Good,"Fantasy, Fiction, Horror, Science Fiction, Audiobook, Adventure, Westerns",8,2
11564,https://www.goodreads.com/book/show/11564,3.64,179677.0,8901.0,ok,"43,371 (24%)",43371.0,24.0,"57,616 (32%)",57616.0,32.0,"55,081 (30%)",55081.0,30.0,"18,120 (10%)",18120.0,10.0,"5,489 (3%)",5489.0,3.0,The Girl Who Loved Tom Gordon,"King, Stephen",0.27,0.21,,False,5.2544924877245816,Good,"Horror, Fiction, Thriller, Suspense, Mystery, Fantasy, Audiobook",6,3
28253070,https://www.goodreads.com/book/show/28253070,3.91,666165.0,29009.0,ok,"242,739 (36%)",242739.0,36.0,"206,428 (30%)",206428.0,30.0,"149,032 (22%)",149032.0,22.0,"49,104 (7%)",49104.0,7.0,"18,862 (2%)",18862.0,2.0,The Gunslinger,"King, Stephen",0.38,0.34,,False,5.823581811323984,Good,"Fantasy, Fiction, Horror, Science Fiction, Audiobook, Adventure, Science Fiction Fantasy",5,1
43798285,https://www.goodreads.com/book/show/43798285,4.19,344003.0,32216.0,ok,"142,010 (41%)",142010.0,41.0,"141,123 (41%)",141123.0,41.0,"49,236 (14%)",49236.0,14.0,"8,806 (2%)",8806.0,2.0,"2,828 (<1%)",,,The Institute,"King, Stephen",0.41,0.41,,False,5.536562230006893,Good,"Horror, Fiction, Thriller, Science Fiction, Audiobook, Fantasy, Mystery",5,2
9014,https://www.goodreads.com/book/show/9014,4.01,281206.0,24672.0,ok,"100,228 (35%)",100228.0,35.0,"105,271 (37%)",105271.0,37.0,"57,260 (20%)",57260.0,20.0,"14,425 (5%)",14425.0,5.0,"4,022 (1%)",4022.0,1.0,The Long Walk,"King, Stephen",0.36,0.34,,False,5.449024582845269,Good,"Horror, Fiction, Dystopia, Thriller, Science Fiction, Fantasy, Audiobook",6,2
36124936,https://www.goodreads.com/book/show/36124936,4.01,383449.0,31103.0,ok,"125,835 (32%)",125835.0,32.0,"162,834 (42%)",162834.0,42.0,"74,148 (19%)",74148.0,19.0,"15,907 (4%)",15907.0,4.0,"4,725 (1%)",4725.0,1.0,The Outsider,"King, Stephen",0.33,0.31,,False,5.58370760950675,Good,"Horror, Fiction, Thriller, Mystery, Crime, Audiobook, Mystery Thriller",4,2
11607,https://www.goodreads.com/book/show/11607,3.88,169092.0,9360.0,ok,"48,429 (28%)",48429.0,28.0,"64,929 (38%)",64929.0,38.0,"44,926 (26%)",44926.0,26.0,"9,007 (5%)",9007.0,5.0,"1,801 (1%)",1801.0,1.0,The Running Man,"King, Stephen",0.29,0.27,,False,5.228123060950536,Good,"Horror, Fiction, Science Fiction, Thriller, Dystopia, Audiobook, Fantasy",2,1
11588,https://www.goodreads.com/book/show/11588,4.28,1715310.0,50965.0,ok,"877,526 (51%)",877526.0,51.0,"550,761 (32%)",550761.0,32.0,"211,115 (12%)",211115.0,12.0,"47,205 (2%)",47205.0,2.0,"28,703 (1%)",28703.0,1.0,The Shining,"King, Stephen",0.52,0.5,,False,6.2343426194942495,Good,"Horror, Fiction, Thriller, Classics, Fantasy, Paranormal, Mystery",5,3
87591651,https://www.goodreads.com/book/show/87591651,4.35,838438.0,35307.0,ok,"468,795 (55%)",468795.0,55.0,"239,668 (28%)",239668.0,28.0,"95,771 (11%)",95771.0,11.0,"23,718 (2%)",23718.0,2.0,"10,486 (1%)",10486.0,1.0,The Stand,"King, Stephen",0.56,0.54,,False,5.923470953342329,Good,"Horror, Fiction, Fantasy, Science Fiction, Post Apocalyptic, Thriller, Dystopia",8,3
59219,https://www.goodreads.com/book/show/59219,4.11,141978.0,5845.0,ok,"61,529 (43%)",61529.0,43.0,"45,273 (31%)",45273.0,31.0,"25,880 (18%)",25880.0,18.0,"7,168 (5%)",7168.0,5.0,"2,128 (1%)",2128.0,1.0,The Talisman,"King, Stephen",0.44,0.42,,False,5.152221054109718,Good,"Horror, Fantasy, Fiction, Thriller, Adventure, Mystery, Audiobook",5,2
17660,https://www.goodreads.com/book/show/17660,3.61,165665.0,4787.0,ok,"40,626 (24%)",40626.0,24.0,"49,994 (30%)",49994.0,30.0,"50,429 (30%)",50429.0,30.0,"18,395 (11%)",18395.0,11.0,"6,221 (3%)",6221.0,3.0,The Tommyknockers,"King, Stephen",0.27,0.21,,False,5.219230764831914,Good,"Horror, Fiction, Science Fiction, Thriller, Fantasy, Aliens, Audiobook",7,2
