book_title,author,goodreads_id,goodreads_url,found,match_score,matched_title,matched_author,reason
Anger Is a Gift,"Oshiro, Mark",36142487,https://www.goodreads.com/book/show/36142487-anger-is-a-gift?from_search=true&from_srp=true&qid=JpBtWGqf5S&rank=3,True,0.9318,Anger Is a Gift,Mark Oshiro,ok
Here the Whole Time,"Martins, Vitor",48997636,https://www.goodreads.com/book/show/48997636-here-the-whole-time?from_search=true&from_srp=true&qid=n6UVj0rNPj&rank=1,True,0.9308,Here the Whole Time,Vitor Martins,ok
When You Get the Chance,"Ryan, Tom",53005757,https://www.goodreads.com/book/show/53005757-when-you-get-the-chance?from_search=true&from_srp=true&qid=35GaBZ0VMO&rank=1,True,0.925,When You Get the Chance,Tom   Ryan,ok
The Fever King (Feverwake Series),"Lee, Victoria",,,False,,,,no_candidates
The Poet X,"Acevedo, Elizabeth",33294200,https://www.goodreads.com/book/show/33294200-the-poet-x?from_search=true&from_srp=true&qid=C6ythBxBQM&rank=3,True,0.9294,The Poet X,Elizabeth Acevedo,ok
Any Way the Wind Blows (Simon Snow Series),"Rowell, Rainbow",72139905,https://www.goodreads.com/book/show/72139905-simon-snow-series-3-books-collection-set-by-rainbow-rowell?from_search=true&from_srp=true&qid=sWM1hzRnMz&rank=1,True,0.2662,Simon Snow Series 3 Books Collection Set By Rainbow Rowell,Rainbow Rowell,ok
Jay's Gay Agenda,"June, Jason",55200702,https://www.goodreads.com/book/show/55200702-jay-s-gay-agenda?from_search=true&from_srp=true&qid=YwOm5nQYy5&rank=1,True,0.925,Jay's Gay Agenda,Jason June,ok
Summer in the City of Roses,"Keil, Michelle Ruiz",56253675,https://www.goodreads.com/book/show/56253675-summer-in-the-city-of-roses?from_search=true&from_srp=true&qid=3FrjXFWXS3&rank=1,True,0.9583,Summer in the City of Roses,Michelle Ruiz Keil,ok
Jack,"Homes, A. M.",29414,https://www.goodreads.com/book/show/29414.Jack?from_search=true&from_srp=true&qid=DWuPCTVNq9&rank=1,True,0.9333,Jack,A.M. Homes,ok
The Sky Blues,"Couch, Robbie",54304017,https://www.goodreads.com/book/show/54304017-the-sky-blues?from_search=true&from_srp=true&qid=Y7N3kZeEeb&rank=2,True,0.925,The Sky Blues,Robbie Couch,ok
19 Love Songs,"Levithan, David",44599131,https://www.goodreads.com/book/show/44599131-19-love-songs?from_search=true&from_srp=true&qid=88w3ointow&rank=1,True,0.9357,19 Love Songs,David Levithan,ok
The Watcher's Test (Deadendia Series),"Steele, Hamish",,,False,,,,no_candidates
"The Legend of Korra: Turf Wars, Part One","DiMartino, Michael Dante",33161035,https://www.goodreads.com/book/show/33161035-the-legend-of-korra?from_search=true&from_srp=true&qid=Hn9G9rUCaW&rank=1,True,0.9348,"The Legend of Korra: Turf Wars, Part One (The Legend of Korra: Turf Wars, #1)",Michael Dante DiMartino,ok
These Witches Don't Burn (These Witches Don't Burn Series),"Sterling, Isabel",,,False,,,,no_candidates
Always Human (Always Human Series),"North, Ari",,,False,,,,no_candidates
Fragile Remedy,"Ingrande Mora, Maria",45281991,https://www.goodreads.com/book/show/45281991-fragile-remedy?from_search=true&from_srp=true&qid=bjPyqwE10t&rank=1,True,0.9526,Fragile Remedy,Maria Ingrande Mora,ok
"No Way, They Were Gay?: Hidden Lives and Secret Loves","Wind, Lee",29068811,https://www.goodreads.com/book/show/29068811-no-way-they-were-gay?from_search=true&from_srp=true&qid=XFDnTUlz4U&rank=1,True,0.925,"No Way, They Were Gay?: Hidden Lives and Secret Loves",Lee Wind,ok
Being Transgender: What You Should Know,"Bevan, Thomas E.",30795799,https://www.goodreads.com/book/show/30795799-being-transgender?from_search=true&from_srp=true&qid=tgXkSpVs6s&rank=2,True,0.9357,Being Transgender: What You Should Know,Thomas E. Bevan,ok
