book_title,author,goodreads_id,goodreads_url,found,search_query,avg_rating,rating_count,review_count,want_to_read,dist_5_star,dist_4_star,dist_3_star,dist_2_star,dist_1_star
The Haters,"Andrews, Jesse",26095121.0,https://www.goodreads.com/book/show/26095121-the-haters?from_search=true&from_srp=true&qid=OhzvPklssi&rank=1,True,"The Haters Andrews, Jesse",3.41,6344,,,"1,078 (16%)","1,964 (30%)","2,099 (33%)",865 (13%),338 (5%)
The Poet X,"Acevedo, Elizabeth",50846677.0,https://www.goodreads.com/book/show/50846677-study-guide?from_search=true&from_srp=true&qid=bADcbPzFmC&rank=1,True,"The Poet X Acevedo, Elizabeth",4.75,4,review,,3 (75%),1 (25%),0 (0%),0 (0%),0 (0%)
Wander in the Dark,"Emill, Jumata",156740461.0,https://www.goodreads.com/book/show/156740461-wander-in-the-dark?from_search=true&from_srp=true&qid=2t9RpQm9eB&rank=1,True,"Wander in the Dark Emill, Jumata",4.05,1267,,,426 (33%),553 (43%),228 (17%),44 (3%),16 (1%)
A Clash of Kings,"Martin, George R. R.",10572.0,https://www.goodreads.com/book/show/10572.A_Clash_of_Kings?from_search=true&from_srp=true&qid=IqnyajZShh&rank=1,True,"A Clash of Kings Martin, George R. R.",4.42,1022350,,,"558,262 (54%)","358,009 (35%)","89,230 (8%)","12,240 (1%)","4,609 (<1%)"
A Court of Frost and Starlight,"Maas, Sarah J.",50659471.0,https://www.goodreads.com/book/show/50659471-a-court-of-frost-and-starlight?from_search=true&from_srp=true&qid=sArqYyJpGN&rank=1,True,"A Court of Frost and Starlight Maas, Sarah J.",3.71,2140564,,,"538,662 (25%)","702,811 (32%)","685,750 (32%)","172,518 (8%)","40,823 (1%)"
A ​Court of Silver Flames,"Maas, Sarah J.",53138095.0,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames?from_search=true&from_srp=true&qid=g4r2aZsp0Z&rank=1,True,"A ​Court of Silver Flames Maas, Sarah J.",4.45,2089206,,,"1,267,329 (60%)","571,847 (27%)","189,762 (9%)","43,693 (2%)","16,575 (<1%)"
A Court of Wings and Ruin,"Maas, Sarah J.",50659472.0,https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin?from_search=true&from_srp=true&qid=e0J47aRfsp&rank=1,True,"A Court of Wings and Ruin Maas, Sarah J.",4.46,2710186,,,"1,622,273 (59%)","790,843 (29%)","236,233 (8%)","45,404 (1%)","15,433 (<1%)"
A Sin Such As This,"Hopkins, Ellen",27276424.0,https://www.goodreads.com/book/show/27276424-a-sin-such-as-this?from_search=true&from_srp=true&qid=rNVe5AMfL9&rank=1,True,"A Sin Such As This Hopkins, Ellen",3.86,1253,,,447 (35%),367 (29%),291 (23%),111 (8%),37 (2%)
A Stolen Life,"Dugard, Jaycee",31368108.0,https://www.goodreads.com/book/show/31368108-summary-of-a-stolen-life?from_search=true&from_srp=true&qid=ie1F1jq6BY&rank=1,True,"A Stolen Life Dugard, Jaycee",3.25,20,,,4 (20%),6 (30%),4 (20%),3 (15%),3 (15%)
All Your Perfects,"Hoover, Colleen",121193861.0,https://www.goodreads.com/book/show/121193861-summary-of-all-your-perfects?from_search=true&from_srp=true&qid=StMIqe1ey2&rank=1,True,"All Your Perfects Hoover, Colleen",4.00,4,,,2 (50%),0 (0%),2 (50%),0 (0%),0 (0%)
