book_title,challenge_reasons,num_reasons,primary_reason
The Long-Distance Dispatch Between Lydia Goldblatt and Julie Graham-Chang,Age-appropriateness concerns,1,Age-appropriateness concerns
The Rocky Road Trip of Lydia Goldblatt and Julie Graham-Chang,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Words of (Questionable) Wisdom from Lydia Goldblatt and Julie Graham-Chang,Age-appropriateness concerns,1,Age-appropriateness concerns
Blood Memory,Violence & mature themes,1,Violence & mature themes
Every Body Looking,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
Crime and Detection: History and Methods of Torture,Violence & mature themes,1,Violence & mature themes
A Widow for One Year,Sexual or romantic content,1,Sexual or romantic content
The World According to Garp,Sexual or romantic content,1,Sexual or romantic content
"Attack on Titan (Series, Title Not Specified)",,0,Uncategorized
"Tokyo Ghoul (Series, Title Not Specified)",,0,Uncategorized
The Librarian of Auschwitz,Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
The Librarian of Auschwitz: The Graphic Novel,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
The Snow Child,,0,Uncategorized
"Magus of the Library (Series, Title Not Specified)",,0,Uncategorized
A Good Girl's Guide to Murder,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
As Good as Dead,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
"Good Girl, Bad Blood",Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
The Weight of Blood,Age-appropriateness concerns; Mental health & trauma; Race & systemic inequality; Violence & mature themes,4,Age-appropriateness concerns
The Friday Night Knitting Club,Sexual or romantic content,1,Sexual or romantic content
Anne Frank: The Anne Frank House Authorized Graphic Biography,Race & systemic inequality,1,Race & systemic inequality
Beyond the Red,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Lab Girl,,0,Uncategorized
Hani and Ishu's Guide to Fake Dating,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Bit of a Blur: the Autobiography,,0,Uncategorized
Fifty Shades of Grey,Sexual or romantic content,1,Sexual or romantic content
Fifty Shades Darker,Sexual or romantic content,1,Sexual or romantic content
Fifty Shades Freed,Sexual or romantic content,1,Sexual or romantic content
"Black Leopard, Red Wolf",Violence & mature themes,1,Violence & mature themes
The Murder Room,Violence & mature themes,1,Violence & mature themes
All's Faire in Middle School,Age-appropriateness concerns,1,Age-appropriateness concerns
Roller Girl,Age-appropriateness concerns,1,Age-appropriateness concerns
When Stars are Scattered,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
"The World Almanac and Book of Facts, 2018",,0,Uncategorized
The Decorative Arts of Africa,Age-appropriateness concerns,1,Age-appropriateness concerns
The Hundred Thousand Kingdoms,Religion & worldview; Sexual or romantic content,2,Religion & worldview
Damage,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
Harry Versus the First 100 Days of School,Age-appropriateness concerns,1,Age-appropriateness concerns
Be Loved,Sexual or romantic content,1,Sexual or romantic content
Knight of the Cape: Definitely Dominguita,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
(Don't) Call Me Crazy: 33 Voices Start the Conversation,Mental health & trauma,1,Mental health & trauma
Escape,Mental health & trauma; Religion & worldview,2,Mental health & trauma
Part of Your World,,0,Uncategorized
Fatal Tide,Sexual or romantic content; Violence & mature themes,2,Sexual or romantic content
No One to Trust,Violence & mature themes,1,Violence & mature themes
If I Fix You,Age-appropriateness concerns,1,Age-appropriateness concerns
Love is the Drug,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
The Summer Prince,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content; Violence & mature themes,4,Age-appropriateness concerns
The First Part Last,Age-appropriateness concerns,1,Age-appropriateness concerns
"Technically, You Started It",Age-appropriateness concerns; Mental health & trauma; Sexual or romantic content,3,Age-appropriateness concerns
Ellie Engle Saves Herself,Age-appropriateness concerns,1,Age-appropriateness concerns
Devil in the Device,Age-appropriateness concerns,1,Age-appropriateness concerns
The Box in the Woods,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
The hand on the wall,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
The Hand on the Wall,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
The Vanishing Stair,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Truly Devious,Age-appropriateness concerns,1,Age-appropriateness concerns
The Graduate (The Play),,0,Uncategorized
Choice Words: How Our Language Affects Children's Learning,,0,Uncategorized
The Sign of the Cat,Age-appropriateness concerns,1,Age-appropriateness concerns
Tips on Having a Gay (Ex) Boyfriend,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
We Are All Liars,Sexual or romantic content,1,Sexual or romantic content
"Modern Love: Revised and Updated: True Stories of Love Loss, and Redemption",,0,Uncategorized
A Song Only I Can Hear,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Parasite: A Graphic Novel in Storyboards,,0,Uncategorized
The Path of Daggers,,0,Uncategorized
Winter's Heart,,0,Uncategorized
A River of Royal Blood,Age-appropriateness concerns; Religion & worldview; Sexual or romantic content,3,Age-appropriateness concerns
A Portrait of the Artist as a Young Man,Sexual or romantic content,1,Sexual or romantic content
Dubliners and A Portrait of the Artist as a Young Man and Other Works,Violence & mature themes,1,Violence & mature themes
Ulysses,,0,Uncategorized
"The Fashion Committee: A Novel of Art, Crime, and Applied Design",Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
AIDS and HIV: Risky Business (Teen Issues),,0,Uncategorized
The Iron Queen,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
The Recognition of Sakuntala: A Play In Seven Acts,Sexual or romantic content,1,Sexual or romantic content
Luna Bay,,0,Uncategorized
The Bite of the Mango,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Scent of Danger,,0,Uncategorized
Confessions of a Not It Girl,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
"Magical Boy, Vol. 1",Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
"Get a Grip, Vivy Cohen",Age-appropriateness concerns,1,Age-appropriateness concerns
Prisoners,Violence & mature themes,1,Violence & mature themes
120 Banned Books: Censorship Histories of World Literature,Sexual or romantic content,1,Sexual or romantic content
Teardrop,Age-appropriateness concerns; Religion & worldview; Sexual or romantic content; Violence & mature themes,4,Age-appropriateness concerns
Torment,Age-appropriateness concerns; Sexual or romantic content; Violence & mature themes,3,Age-appropriateness concerns
All Rights Reserved,Age-appropriateness concerns; Mental health & trauma; Violence & mature themes,3,Age-appropriateness concerns
The Big Bad Wolf Tells All,Sexual or romantic content,1,Sexual or romantic content
Gemina,Age-appropriateness concerns; Sexual or romantic content; Violence & mature themes,3,Age-appropriateness concerns
Illuminae,Age-appropriateness concerns; Sexual or romantic content; Violence & mature themes,3,Age-appropriateness concerns
El Sol Y Sus Flores,Gender politics & feminism; Mental health & trauma; Sexual or romantic content,3,Gender politics & feminism
What's Gender Identity?,LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
The Sound of Letting Go,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
The Incredible Adventures of Cinnamon Girl,Age-appropriateness concerns,1,Age-appropriateness concerns
When Good Kids Kill,Violence & mature themes,1,Violence & mature themes
When You Trap A Tiger,Age-appropriateness concerns,1,Age-appropriateness concerns
Street Dreams,Violence & mature themes,1,Violence & mature themes
A Measure of Darkness,Violence & mature themes,1,Violence & mature themes
Capital Crimes,Violence & mature themes,1,Violence & mature themes
Compulsion,Violence & mature themes,1,Violence & mature themes
Heartbreak Hotel,Violence & mature themes,1,Violence & mature themes
The Murderer's Daughter,Mental health & trauma; Violence & mature themes,2,Mental health & trauma
The Royals: With the Latest on the Royal Family,,0,Uncategorized
Who Is Dolly Parton?,Age-appropriateness concerns,1,Age-appropriateness concerns
Hello Universe,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
Lilac Girls,Race & systemic inequality; Violence & mature themes,2,Race & systemic inequality
After the Fall,Violence & mature themes,1,Violence & mature themes
A Curse So Dark and Lonely,Age-appropriateness concerns,1,Age-appropriateness concerns
A Heart So Fierce and Broken,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Mr. Ding’s Chicken Feet: On a Slow Boat from Shanghai to Texas,,0,Uncategorized
Schindler's List,Race & systemic inequality; Violence & mature themes,2,Race & systemic inequality
Stealing Parker,Age-appropriateness concerns,1,Age-appropriateness concerns
Shut Out,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
That's Not What Happened,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma; Violence & mature themes,4,Age-appropriateness concerns
You: A Novel of Dark Obsession,Violence & mature themes,1,Violence & mature themes
Space: a memoir,,0,Uncategorized
Orange Is The New Black: My Year In A Women's Prison,Mental health & trauma,1,Mental health & trauma
Little Peach,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
On the Road,,0,Uncategorized
The Dharma Bums,,0,Uncategorized
Night Kites,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
The Names We Take,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Violence & mature themes,3,Age-appropriateness concerns
One Flew Over the Cuckoo's Nest,,0,Uncategorized
Sometimes a Great Notion,,0,Uncategorized
Emily Windsnap and the Pirate Prince,Age-appropriateness concerns,1,Age-appropriateness concerns
Twelfth,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Flowers for Algernon,Age-appropriateness concerns,1,Age-appropriateness concerns
No More Excuses: Dismantling Rape Culture,Gender politics & feminism; Sexual or romantic content; Violence & mature themes,3,Gender politics & feminism
"Pointe, Claw",Age-appropriateness concerns,1,Age-appropriateness concerns
Mirror in the Sky,Age-appropriateness concerns,1,Age-appropriateness concerns
Darius the Great Is Not Okay,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma,3,Age-appropriateness concerns
Kiss and Tell,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content; Violence & mature themes,4,Age-appropriateness concerns
Things in Jars,,0,Uncategorized
The Year of the Bomb,Age-appropriateness concerns,1,Age-appropriateness concerns
The Book of Longings,Gender politics & feminism; Race & systemic inequality; Religion & worldview,3,Gender politics & feminism
The Invention of Wings,,0,Uncategorized
The Mermaid Chair,Sexual or romantic content,1,Sexual or romantic content
The Secret Life of Bees,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Tradition,Age-appropriateness concerns,1,Age-appropriateness concerns
Sexting Tips for Women: 100 Tips to Turn Him On,,0,Uncategorized
Miracle Creek,Violence & mature themes,1,Violence & mature themes
The Plotters,Violence & mature themes,1,Violence & mature themes
A Girl Named Zippy,Violence & mature themes,1,Violence & mature themes
Vortex: An Insignia Novel,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Dig,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Glory O'Brien's History of the Future,Age-appropriateness concerns; Mental health & trauma; Violence & mature themes,3,Age-appropriateness concerns
I Crawl Through It,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
Reality Boy,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Still Life with Tornado,Mental health & trauma; Violence & mature themes,2,Mental health & trauma
Maya Angelou: Greeting the Morning,,0,Uncategorized
1922,Violence & mature themes,1,Violence & mature themes
Apt Pupil,Violence & mature themes,1,Violence & mature themes
Bag of Bones,Violence & mature themes,1,Violence & mature themes
Billy Summers,Violence & mature themes,1,Violence & mature themes
Black House,Violence & mature themes,1,Violence & mature themes
Blaze,,0,Uncategorized
Blockade Billy,Violence & mature themes,1,Violence & mature themes
Carrie,Violence & mature themes,1,Violence & mature themes
Cell,Violence & mature themes,1,Violence & mature themes
Christine,Violence & mature themes,1,Violence & mature themes
Cujo,Violence & mature themes,1,Violence & mature themes
Danse Macabre,,0,Uncategorized
Doctor Sleep,Violence & mature themes,1,Violence & mature themes
Dreamcatcher,Violence & mature themes,1,Violence & mature themes
Duma Key,Violence & mature themes,1,Violence & mature themes
End of Watch,Mental health & trauma; Violence & mature themes,2,Mental health & trauma
Everything's Eventual: 14 Dark Tales,,0,Uncategorized
Finders Keepers,Violence & mature themes,1,Violence & mature themes
Firestarter (SK),Violence & mature themes,1,Violence & mature themes
Four Past Midnight,Violence & mature themes,1,Violence & mature themes
From a Buick 8,Violence & mature themes,1,Violence & mature themes
"Full Dark, No Stars",Violence & mature themes,1,Violence & mature themes
Gerald's Game,Violence & mature themes,1,Violence & mature themes
Gwendy's Button Box,Mental health & trauma,1,Mental health & trauma
Gwendy's Final Task,,0,Uncategorized
Hearts in Atlantis,Violence & mature themes,1,Violence & mature themes
If It Bleeds,Violence & mature themes,1,Violence & mature themes
Insomnia,Violence & mature themes,1,Violence & mature themes
Joyland,Violence & mature themes,1,Violence & mature themes
Just After Sunset,Violence & mature themes,1,Violence & mature themes
Later,Violence & mature themes,1,Violence & mature themes
Lisey's Story,Sexual or romantic content; Violence & mature themes,2,Sexual or romantic content
Misery,Violence & mature themes,1,Violence & mature themes
Mr. Mercedes,Mental health & trauma; Violence & mature themes,2,Mental health & trauma
Needful Things,Violence & mature themes,1,Violence & mature themes
Night Shift,Violence & mature themes,1,Violence & mature themes
Nightmares and Dreamscapes,,0,Uncategorized
On Writing: A Memoir of the Craft,,0,Uncategorized
Rose Madder,Violence & mature themes,1,Violence & mature themes
Salem's Lot,Violence & mature themes,1,Violence & mature themes
Skeleton Crew,Violence & mature themes,1,Violence & mature themes
Sleeping Beauties,Violence & mature themes,1,Violence & mature themes
Song of Susannah,Violence & mature themes,1,Violence & mature themes
Storm of the Century: An Original Screenplay,,0,Uncategorized
The Bachman Books,Violence & mature themes,1,Violence & mature themes
The Bazaar of Bad Dreams,Violence & mature themes,1,Violence & mature themes
The Dark Half,Violence & mature themes,1,Violence & mature themes
The Dead Zone,Violence & mature themes,1,Violence & mature themes
The Drawing of the Three,Violence & mature themes,1,Violence & mature themes
The Girl Who Loved Tom Gordon,Violence & mature themes,1,Violence & mature themes
The Gunslinger,Violence & mature themes,1,Violence & mature themes
The Institute,Violence & mature themes,1,Violence & mature themes
The Long Walk,Violence & mature themes,1,Violence & mature themes
The Outsider,Violence & mature themes,1,Violence & mature themes
The Running Man,Violence & mature themes,1,Violence & mature themes
The Shining,Violence & mature themes,1,Violence & mature themes
The Stand,Violence & mature themes,1,Violence & mature themes
The Talisman,Violence & mature themes,1,Violence & mature themes
The Tommyknockers,Violence & mature themes,1,Violence & mature themes
The Waste Lands,Mental health & trauma; Violence & mature themes,2,Mental health & trauma
Thinner,Violence & mature themes,1,Violence & mature themes
Wizard and Glass,Violence & mature themes,1,Violence & mature themes
Wolves of the Calla,Violence & mature themes,1,Violence & mature themes
Pigs In Heaven,Race & systemic inequality,1,Race & systemic inequality
Prodigal Summer,,0,Uncategorized
The Bean Trees,,0,Uncategorized
The Poisonwood Bible,,0,Uncategorized
Confessions of a Shopaholic,Sexual or romantic content,1,Sexual or romantic content
Shopaholic and Baby,,0,Uncategorized
"The Walking Dead, Vol. 2: Miles Behind Us",,0,Uncategorized
"Naruto, Vol. 11: Impassioned efforts",,0,Uncategorized
"Naruto, Vol. 2: Test of a Ninja",Age-appropriateness concerns,1,Age-appropriateness concerns
"Naruto, Vol. 28: Homecoming",,0,Uncategorized
"Naruto, Vol. 38: Practice Makes Perfect",,0,Uncategorized
"Naruto, Vol. 52: Cell Seven Reunion",,0,Uncategorized
Gert Garibaldi's Rants and Raves: One Butt Cheek at a Time,Age-appropriateness concerns,1,Age-appropriateness concerns
Firestorm,Age-appropriateness concerns,1,Age-appropriateness concerns
You Don't Know Me,Age-appropriateness concerns; Mental health & trauma; Violence & mature themes,3,Age-appropriateness concerns
Don't Say a Word,Violence & mature themes,1,Violence & mature themes
Primary Colors: A Novel of Politics,,0,Uncategorized
Rape and Sexual Assault: Healing and Recovery,Age-appropriateness concerns; Sexual or romantic content; Violence & mature themes,3,Age-appropriateness concerns
Orphan Train,Race & systemic inequality,1,Race & systemic inequality
"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Race & systemic inequality; Sexual or romantic content,2,Race & systemic inequality
"Finding Me: A Decade of Darkness, A Life Reclaimed: A Memoir",Violence & mature themes,1,Violence & mature themes
An Age of License: A Travelogue,,0,Uncategorized
Luckiest Girl Alive,Violence & mature themes,1,Violence & mature themes
A Separate Peace,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Strays,Age-appropriateness concerns,1,Age-appropriateness concerns
Obasan,Violence & mature themes,1,Violence & mature themes
Honestly Ben,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Openly Straight,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Silent to the Bone,Age-appropriateness concerns,1,Age-appropriateness concerns
Ancient World Commanders: From the Trojan War to the Fall of Rome,,0,Uncategorized
City of Night,,0,Uncategorized
Dark Rivers of the Heart,,0,Uncategorized
False Memory,Violence & mature themes,1,Violence & mature themes
Innocence,,0,Uncategorized
Intensity,Violence & mature themes,1,Violence & mature themes
Phantoms,,0,Uncategorized
Saint Odd,Sexual or romantic content,1,Sexual or romantic content
Seize the Night,Violence & mature themes,1,Violence & mature themes
The Voice of the Night,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Twilight Eyes,,0,Uncategorized
Watchers,Violence & mature themes,1,Violence & mature themes
Whispers,Violence & mature themes,1,Violence & mature themes
The Painted Bird,Race & systemic inequality; Violence & mature themes,2,Race & systemic inequality
The Sidekicks,Age-appropriateness concerns,1,Age-appropriateness concerns
The Bear Went Over the Mountain,,0,Uncategorized
Born on the Fourth of July,Violence & mature themes,1,Violence & mature themes
The Influential Woman,Religion & worldview,1,Religion & worldview
Into the Wild,,0,Uncategorized
Bent Heavens,Age-appropriateness concerns,1,Age-appropriateness concerns
The Cat King of Havana,,0,Uncategorized
Leonardo da Vinci,,0,Uncategorized
The Pirate,Sexual or romantic content; Violence & mature themes,2,Sexual or romantic content
Dangerous Play,Age-appropriateness concerns,1,Age-appropriateness concerns
Something Happened to Ali Greenleaf,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
"Hey, Kiddo: How I Lost My Mother, Found My Father, and Dealt with Family Addiction",Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
Hexed,Age-appropriateness concerns; Religion & worldview; Sexual or romantic content; Violence & mature themes,4,Age-appropriateness concerns
The Burning God,Violence & mature themes,1,Violence & mature themes
The Dragon Republic,Mental health & trauma; Violence & mature themes,2,Mental health & trauma
The Poppy War,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
"Bleach (Series, Title Not Specified)",,0,Uncategorized
The Smaller Evil,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
When I Am Through with You,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Pieces of a Girl,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
"No Choirboy: Murder, Violence, and Teenagers on Death Row",Violence & mature themes,1,Violence & mature themes
The Unbearable Lightness of Being,Sexual or romantic content,1,Sexual or romantic content
The Mars Room,,0,Uncategorized
Many Waters,Age-appropriateness concerns,1,Age-appropriateness concerns
Living in a Violent Household,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
"Good Morning, Mr. Mandela",Race & systemic inequality; Sexual or romantic content,2,Race & systemic inequality
The Honeys,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Violence & mature themes,3,Age-appropriateness concerns
Who Was Maya Angelou?,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Courting Darkness,Age-appropriateness concerns,1,Age-appropriateness concerns
Dark Triumph,Age-appropriateness concerns,1,Age-appropriateness concerns
Grave Mercy,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Mortal Heart,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
The Namesake,Race & systemic inequality,1,Race & systemic inequality
In Darkness,Age-appropriateness concerns,1,Age-appropriateness concerns
Lily and the Night Creatures,Age-appropriateness concerns,1,Age-appropriateness concerns
Whisper to Me,Age-appropriateness concerns,1,Age-appropriateness concerns
I Know This Much Is True,Mental health & trauma,1,Mental health & trauma
She's Come Undone,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Red Spikes,Age-appropriateness concerns,1,Age-appropriateness concerns
Search for Safety,Age-appropriateness concerns,1,Age-appropriateness concerns
Survivor,Mental health & trauma,1,Mental health & trauma
For the Right to Learn: Malala Yousafzai's Story,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Strangeworlds Travel Agency,Age-appropriateness concerns; Religion & worldview,2,Age-appropriateness concerns
Liar,Sexual or romantic content; Violence & mature themes,2,Sexual or romantic content
My Sister Rosa,,0,Uncategorized
"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",Violence & mature themes,1,Violence & mature themes
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Sexual or romantic content; Violence & mature themes,2,Sexual or romantic content
There's a Hair In My Dirt: A Worm's Story,Age-appropriateness concerns,1,Age-appropriateness concerns
All Summer Long,Age-appropriateness concerns,1,Age-appropriateness concerns
The Girl Who Kicked the Hornet's Nest,Mental health & trauma; Violence & mature themes,2,Mental health & trauma
The Girl Who Played with Fire,Sexual or romantic content; Violence & mature themes,2,Sexual or romantic content
The Girl with the Dragon Tattoo,Violence & mature themes,1,Violence & mature themes
The Girl With the Dragon Tattoo,Violence & mature themes,1,Violence & mature themes
Daniel Boone,Race & systemic inequality,1,Race & systemic inequality
Escape By Sea,Violence & mature themes,1,Violence & mature themes
Monument 14,Age-appropriateness concerns,1,Age-appropriateness concerns
Monument 14: Savage Drift,Age-appropriateness concerns,1,Age-appropriateness concerns
Monument 14: Sky On Fire,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Chew,,0,Uncategorized
Wrong About the Guy,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
The Dollmage,Age-appropriateness concerns,1,Age-appropriateness concerns
The Last Boy: Mickey Mantle and the End of America's Childhood,,0,Uncategorized
Crazy,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Meet Cute Diary,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
The Lady's Guide to Petticoats and Piracy,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Recipe Box,Sexual or romantic content,1,Sexual or romantic content
Excelsior!: The Amazing Life of Stan Lee,,0,Uncategorized
The Fever King,Age-appropriateness concerns,1,Age-appropriateness concerns
Tiger Honor,Age-appropriateness concerns,1,Age-appropriateness concerns
In Another Time,Age-appropriateness concerns; Sexual or romantic content; Violence & mature themes,3,Age-appropriateness concerns
Stephen Spender: A Life in Modernism,Sexual or romantic content; Violence & mature themes,2,Sexual or romantic content
Sawkill Girls,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Violence & mature themes,3,Age-appropriateness concerns
Mystic River,Violence & mature themes,1,Violence & mature themes
Descender,,0,Uncategorized
L'Hystérique,,0,Uncategorized
Summer of Salt,Age-appropriateness concerns,1,Age-appropriateness concerns
You Must Not Miss,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
What If We Were...,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Male/Female Roles (BL),,0,Uncategorized
Rape On Campus (BL),Age-appropriateness concerns; Race & systemic inequality; Sexual or romantic content; Violence & mature themes,4,Age-appropriateness concerns
"Love, Cajun Style",Age-appropriateness concerns,1,Age-appropriateness concerns
The Grass Is Singing,Race & systemic inequality,1,Race & systemic inequality
Guardian (JL),Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Party,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Water Dancer,LGBTQ+ identity & sexuality; Sexual or romantic content,2,LGBTQ+ identity & sexuality
21 Proms,Age-appropriateness concerns,1,Age-appropriateness concerns
"How They Met, and Other Stories",Age-appropriateness concerns,1,Age-appropriateness concerns
Ryan and Avery,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Take Me With You When You Go,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma; Sexual or romantic content,4,Age-appropriateness concerns
The Lover's Dictionary,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
The Mysterious Disappearance of Aidan S. (As Told To His Brother),Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Crushing It,Age-appropriateness concerns,1,Age-appropriateness concerns
Not After Everything,Age-appropriateness concerns; Mental health & trauma; Violence & mature themes,3,Age-appropriateness concerns
That Hideous Strength: A Modern Fairy-Tale for Grown-Ups,Violence & mature themes,1,Violence & mature themes
Babbitt,,0,Uncategorized
Parents' Day,Age-appropriateness concerns,1,Age-appropriateness concerns
Love in the Time of Global Warming,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Violence & mature themes,3,Age-appropriateness concerns
The Little Book of Snowflakes,,0,Uncategorized
The Snowflake: Winter's Secret Beauty,,0,Uncategorized
Remarkably Ruby,Age-appropriateness concerns,1,Age-appropriateness concerns
The Grace Year,Age-appropriateness concerns,1,Age-appropriateness concerns
Reflection: A Twisted Tale,Age-appropriateness concerns,1,Age-appropriateness concerns
Unravel the Dusk,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Dexter Is Delicious,Violence & mature themes,1,Violence & mature themes
She Gets the Girl,Age-appropriateness concerns,1,Age-appropriateness concerns
Raiders Night,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Elatsoe,Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
Purge,Age-appropriateness concerns,1,Age-appropriateness concerns
The Illustrated Guide to the Supernatural,,0,Uncategorized
"Monstress (Series, Title Not Specified)",Violence & mature themes,1,Violence & mature themes
The Valiant,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
How Green Was My Valley,Age-appropriateness concerns,1,Age-appropriateness concerns
Pride of Lions,,0,Uncategorized
A Scatter of Light,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Family of Liars: The Prequel to We Were Liars,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Again Again,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Dramarama,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Genuine Fraud,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
"The Treasure Map of Boys: Noel, Jackson, Finn, Hutch, Gideon -- and Me, Ruby Oliver",Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
In the Key of Us,Age-appropriateness concerns,1,Age-appropriateness concerns
City of Secrets,Age-appropriateness concerns,1,Age-appropriateness concerns
City of Speed,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma; Violence & mature themes,4,Age-appropriateness concerns
City of Thieves (AL),Sexual or romantic content; Violence & mature themes,2,Sexual or romantic content
