book_title,challenge_reasons,num_reasons,primary_reason
Heart of Thorns (Heart of Thorns Series),Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
The Brilliant Death (The Brilliant Death Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Not So Pure and Simple,Age-appropriateness concerns; Gender politics & feminism; Sexual or romantic content,3,Age-appropriateness concerns
Seeing Gender: An Illustrated Guide to Identity and Expression,Gender politics & feminism; LGBTQ+ identity & sexuality,2,Gender politics & feminism
Love Is for Losers,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Lobizona (Wolves of No World Series),Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
The Last Confession of Autumn Casterly,Age-appropriateness concerns; Mental health & trauma; Violence & mature themes,3,Age-appropriateness concerns
Rise to the Sun,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
I Am Water,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
The Field Guide to the North American Teenager,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
The Dark Tide,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Edie in Between,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
"She/He/They/Me: For the Sisters, Misters, and Binary Resisters",LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
Chicken Girl,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
On the Other Side of Freedom: The Case for Hope,Mental health & trauma; Race & systemic inequality,2,Mental health & trauma
This Golden Flame,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Squad,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Violence & mature themes,3,Age-appropriateness concerns
Another Day (Every Day Series),Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Indestructible Object,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Tears of Frost (Heart of Thorns Series),Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
A Curse of Roses,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Rising Out,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Where We Go From Here,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
"Be Gay, Do Comics: Queer History, Memoir, and Satire from The Nib",,0,Uncategorized
"Good Girl, Bad Blood (A Good Girl's Guide to Murder Series)",Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Chik Chak Shabbat,Age-appropriateness concerns; Race & systemic inequality; Religion & worldview,3,Age-appropriateness concerns
Molly of Denali: Berry Itchy Day,Age-appropriateness concerns,1,Age-appropriateness concerns
Yang the Third and Her Impossible Family (The Yang Family Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Carter Reads the Newspaper,Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
It Began with a Page: How Gyo Fujikawa Drew the Way,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Perfect Chemistry (Perfect Chemistry Series),Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Stella Brings the Family,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
The Double Life of Pocahontas,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Sally and The Magical Sneeze,Age-appropriateness concerns,1,Age-appropriateness concerns
The Flag of Childhood: Poems From the Middle East,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
