book_title,author
A is for Activist,"Nagara, Innosanto"
"Jasmine Toguchi, Mochi Queen (Jasmine Toguchi Series)","Florence, Debbi Michiko"
Lulu and the Duck in the Park (Lulu Series),"McKay, Hilary"
Max and the Tag-Along Moon,"Cooper, Floyd"
Counting on Katherine: How Katherine Johnson Saved Apollo 13,"Becker, Helaine"
Faces at the Bottom of the Well: The Permanence of Racism,"Bell, Derrick"
Ramadan Around The World,"Hassan, Ndaa"
Cultivating Genius: An Equity Framework for Culturally and Historically Responsive Literacy,"Muhammad, Gholdy"
Ghouls Just Want to Have Fun (Desmond Cole Ghost Patrol Series),"Miedoso, Andrés"
Monster Trouble!,"Fredrickson, Lane"
How Many Stars in the Sky?,"Hort, Lenny"
My Family Plays Music,"Cox, Judy"
"Trivia Queen, 3rd Grade Supreme (Ruby and the Booker Boys Series)","Barnes, Derrick"
White Fragility: Why It's So Hard for White People to Talk About Racism,"DiAngelo, Robin"
"Culturally and Linguistically Responsive Teaching and Learning – Classroom Practices for Student Success, Grades K-12","Hollie, Sharroky"
Alma and How She Got Her Name,"Martinez-Neal, Juana"
Trombone Shorty,"Andrews, Troy"
Chasing Space Young Readers' Edition,"Melvin, Leland"
WeirDo Series: WeirDo,"Do, Anh"
Rap a Tap Tap: Here's Bojangles - Think of That!,"Dillon, Leo"
African American Cowboys: True Heroes Of The Old West,"Fuerst, Jeffrey B."
Nelson Beats The Odds,"Sidney II, Ronnie"
"The Book Itch: Freedom, Truth & Harlem's Greatest Bookstore","Nelson, Vaunda Micheaux"
Leila in Saffron,"Guidroz, Rukhsanna"
The Story of Rap,"Sagar, Lindsey"
Yasmin the Librarian (Yasmin Series),"Faruqi, Saadia"
The Marigold Mess (Sofía Martínez Series),"Jules, Jacqueline"
The Name Jar,"Choi, Yangsook"
I'm a Pretty Little Black Girl!,"Bynum, Betty K."
King & Kayla and the Case of the Mysterious Mouse (King & Kayla Series),"Butler, Dori Hillestad"
Lola Loves Stories (Lola Series),"McQuinn, Anna"
Subtractive Schooling: U.S.-Mexican Youth and the Politics of Caring,"Valenzuela, Angela"
¿De Dónde Eres?/Where Are You From?,"Mendez, Yamile Saied"
"The Quest for Screen Time (Jaden Toussaint, the Greatest Series)","Dumas, Marti"
King & Kayla and the Case of the Missing Dog Treats (King & Kayla Series),"Butler, Dori Hillestad"
WeirDo Series: Hopping Weird!,"Do, Anh"
"Grandpa Cacao: A Tale of Chocolate, from Farm to Family","Zunon, Elizabeth"
Encounter,"Yolen, Jane"
Esta bien ser diferente/It's Okay to Be Different (Spanish Version),"Parr, Todd"
"Muffin Wars (Jaden Toussaint, the Greatest Series)","Dumas, Marti"
Spotlight on Coding Club! (Girls Who Code Series),"Schusterman, Michelle"
Come with Me,"McGhee, Holly M."
Who Was Maya Angelou? (Who was...? Series),"Labrecque, Ellen"
The Sunday Outing,"Pinkney, Gloria Jean"
Lola Levine Meets Jelly and Bean (Lola Levine Series),"Brown, Monica"
An Indigenous Peoples' History of the United States,"Dunbar-Ortiz, Roxanne"
Who Was Cesar Chavez? (Who was...? Series),"Rau, Dana Meachen"
When Stars Are Scattered,"Jamieson, Victoria"
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,"Alexander, Michelle"
Lovely,"Hong, Jess"
Catching the Moon: The Story of a Young Girl's Baseball Dream,"Hubbard, Crystal"
"Black Appetite. White Food.: Issues of Race, Voice, and Justice Within and Beyond the Classroom","Lyiscott, Jamila"
"Brand New School, Brave New Ruby (Ruby and the Booker Boys Series)","Barnes, Derrick"
"Transformative Ethnic Studies in Schools: Curriculum, Pedagogy, and Research","Sleeter, Christine E."
"Attack of the Swamp Thing (Jaden Toussaint, the Greatest Series)","Dumas, Marti"
"Sofia Valdez, Future Prez (Questioneers Picture Books Series)","Beaty, Andrea"
"Pele, King of Soccer/Pele, El rey del futbol: Bilingual Spanish-English","Brown, Monica"
Fry Bread: A Native American Family Story,"Maillard, Kevin Noble"
IntersectionAllies: We Make Room for All,"Johnshon, Chelsea,"
You Matter,"Robinson, Christian"
Say Something,"Reynolds, Peter H."
Stamped from the Beginning: The Definitive History of Racist Ideas in America,"Kendi, Ibram X."
Who Are Venus and Serena Williams? (What was...? Series),"Buckley Jr., James"
Can We Talk about Race?: And Other Conversations in an Era of School Resegregation,"Tatum, Beverly Daniel"
Who Is Derek Jeter? (Who was...? Series),"Herman, Gail"
Niño Wrestles the World (Niño Series),"Morales, Yuyi"
Clap When You Land,"Acevedo, Elizabeth"
The Other Side,"Woodson, Jacqueline"
Yasmin the Scientist (Yasmin Series),"Faruqi, Saadia"
WeirDo Series: Splashy Weird!,"Do, Anh"
WeirDo Series: Weirdomania!,"Do, Anh"
Hair Love,"Cherry, Matthew A."
Planet Omar: Epic Hero Flop (Planet Omar Series),"Mian, Zanib"
WeirDo Series: Even Weirder!,"Do, Anh"
Condoleezza Rice: Being the Best (Gateway Biographies),"Wade, Mary Dodson"
Pink Is for Boys,"Pearlman, Robb"
Singing Superstar (Sofía Martínez Series),"Jules, Jacqueline"
Smoky Night,"Bunting, Eve"
Fishing Day,"Pinkney, Andrea Davis"
Who Was Frida Kahlo? (Who was...? Series),"Fabiny, Sarah"
Amazing Grace (Grace Series),"Hoffman, Mary"
Julián Is a Mermaid (Julián Series),"Love, Jessica"
"Surf's Up, Creepy Stuff! (Desmond Cole Ghost Patrol Series)","Miedoso, Andrés"
WeirDo Series: Spooky Weird!,"Do, Anh"
"Can I Touch Your Hair? Poems of Race, Mistakes, and Friendship","Latham, Irene"
All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color (Spanish Version),"Kissinger, Katie"
Henry's Freedom Box: A True Story from the Underground Railroad,"Levine, Ellen"
Lola Reads to Leo (Lola Series),"McQuinn, Anna"
"Sing a Song: How ""Lift Every Voice and Sing"" Inspired Generations","Lyons, Kelly Starling"
I Am Rosa Parks,"Meltzer, Brad"
Your Name Is a Song,"Thompkins-Bigelow, Jamilah"
Patina (Track Series),"Reynolds, Jason"
Hank's Big Day: The Story of a Bug,"Kuhlman, Evan"
Teach Us Your Name: Empowering Children to Teach Others to Pronounce Their Names Correctly,"Essa, Huda"
"This Book Is Anti-Racist: 20 Lessons on How to Wake Up, Take Action, and Do the Work","Jewell, Tiffany"
All Are Welcome,"Penfold, Alexandra"
Little Leaders: Bold Women in Black History,"Harrison, Vashti"
"Tito Puente, Mambo King/Tito Puente, Rey del Mambo","Brown, Monica"
Mixed Me!,"Diggs, Taye"
Not Norman: A Goldfish Story,"Bennett, Kelly"
Anna Hibiscus (Anna Hibiscus Series),Atinuke
Ninth Ward (The Louisiana Girls Trilogy Series),"Rhodes, Jewell Parker"
Escape from the Roller Ghoster (Desmond Cole Ghost Patrol Series),"Miedoso, Andrés"
Refugee,"Gratz, Alan"
I Am Human: A Book of Empathy (I Am... Series),"Verde, Susan"
Yasmin the Gardener (Yasmin Series),"Faruqi, Saadia"
Mae Among the Stars,"Ahmed, Roda"
"¡Solo pregunta!: Sé Diferente, Sé Valiente, Sé Tú","Sotomayor, Sonia"
Bilal Cooks Daal,"Saeed, Aisha"
I Am Who I Am,"Nesmith, Kimberly M."
WeirDo Series: Crazy Weird!,"Do, Anh"
The Proudest Blue: A Story of Hijab and Family,"Muhammad, Ibtihaj"
Amelia to Zora: Twenty-Six Women Who Changed the World,"Chin-Lee, Cynthia"
Changing the Equation: 50+ US Black Women in STEM,"Bolden, Tonya"
Yasmin the Superhero (Yasmin Series),"Faruqi, Saadia"
Look Both Ways: A Tale Told in Ten Blocks,"Reynolds, Jason"
A Bike Like Sergio's,"Boelts, Maribeth"
Mindy Kim and the Fairy-Tale Wedding (Mindy Kim Series),"Lee, Lyla"
Abuela's Birthday (Sofía Martínez Series),"Jules, Jacqueline"
"Chocolate Milk, Por Favor","Dismondy, Maria"
"The Ladek Invasion (Jaden Toussaint, the Greatest Series)","Dumas, Marti"
Nikki & Deja (Nikki & Deja Series),"English, Karen"
Indian No More,"McManis, Charlene Willing"
My Papi Has a Motorcycle,"Quintero, Isabel"
The People Shall Continue,"Ortiz, Simon J."
Abuela's Special Letters (Sofía Martínez Series),"Jules, Jacqueline"
"Hey, Charleston!: The True Story of the Jenkins Orphanage Band","Rockwell, Anne"
25 Women Who Fought Back,"Sherman, Jill"
"Jasmine Toguchi, Flamingo Keeper (Jasmine Toguchi Series)","Florence, Debbi Michiko"
WeirDo Series: Really Weird!,"Do, Anh"
Yasmin the Teacher (Yasmin Series),"Faruqi, Saadia"
The Boy Who Didn't Believe in Spring,"Clifton, Lucille"
The Missing Mouse (Sofía Martínez Series),"Jules, Jacqueline"
Mindy Kim and the Trip to Korea (Mindy Kim Series),"Lee, Lyla"
Gordon Parks: How the Photographer Captured Black and White America,"Weatherford, Carole Boston"
Not Quite Snow White,"Franklin, Ashley"
The 5 O'Clock Band,"Andrews, Troy"
Cilla Lee-Jenkins: The Epic Story (Cilla Lee-Jenkins Series),"Tan, Susan"
Little Melba and Her Big Trombone,"Russell-Brown, Katheryn"
"Squeak, Rumble, Whomp! Whomp! Whomp!: A Sonic Adventure","Marsalis, Wynton"
I Promise,"James, LeBron"
King & Kayla and the Case of the Secret Code (King & Kayla Series),"Butler, Dori Hillestad"
The Girl with a Mind for Math: The Story of Raye Montague,"Mosca, Julia Finley"
Cilla Lee-Jenkins: This Book Is a Classic (Cilla Lee-Jenkins Series),"Tan, Susan"
Yasmin the Chef (Yasmin Series),"Faruqi, Saadia"
Bat and the Waiting Game (A Boy Called Bat Series),"Arnold, Elana K."
A Kids Book About Racism,"Memory, Jelani"
What Was Stonewall? (What was...? Series),"Medina, Nico"
Sulwe,"Nyong'o, Lupita"
WeirDo Series: Messy Weird!,"Do, Anh"
They Called Us Enemy,"Takei, George"
Tameka's New Dress,"Sidney II, Ronnie"
WeirDo Series: Planet Weird,"Do, Anh"
Teaching to Transgress: Education as the Practice of Freedom,"hooks, bell"
Skin Like Mine (Kids Like Mine Series),"Perry, LaTashia M."
25 Women Who Dared to Go,"Lassieur, Allison"
"Shining Legacy: A Treasury of ""Storypoems and Tales for the Young So Black Heroes Forever Will Be Sung""","Taifa, Nkechi"
Before the Ever After,"Woodson, Jacqueline"
Culturally Responsive Teaching and The Brain: Promoting Authentic Engagement and Rigor Among Culturally and Linguistically Diverse Students,"Hammond, Zaretta"
Who Was Eleanor Roosevelt? (Who was...? Series),"Thompson, Gare"
Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation,"Tonatiuh, Duncan"
Yasmin the Writer (Yasmin Series),"Faruqi, Saadia"
Around Our Way on Neighbors' Day,"Brown, Tameka Fryer"
King & Kayla and the Case of Found Fred (King & Kayla Series),"Butler, Dori Hillestad"
A is for Audra: Broadway's Leading Ladies from A to Z,"Allman, John Robert"
Peeny Butter Fudge,"Morrison, Toni"
The Friendship Code (Girls Who Code Series),"Deutsch, Stacia"
Planet Omar: Incredible Rescue Mission (Planet Omar Series),"Mian, Zanib"
Everyday Antiracism: Getting Real About Race in School,"Pollock, Mica"
Lola Sleeps Over (Lola Series),"McQuinn, Anna"
"""Multiplication Is for White People"": Raising Expectations for Other People's Children","Delpit, Lisa"
Hot Day on Abbott Avenue,"English, Karen"
Duke Ellington: The Piano Prince and His Orchestra,"Pinkney, Andrea Davis"
Malala's Magic Pencil,"Yousafzai, Malala"
Who Was Harriet Beecher Stowe? (Who was...? Series),"Rau, Dana Meachen"
Sofia's Party Shoes (Sofía Martínez Series),"Jules, Jacqueline"
Shades of People,"Rotner, Shelley"
WeirDo Series: Spinning Weird,"Do, Anh"
WeirDo Series: Extra Weird!,"Do, Anh"
Parachutes,"Yang, Kelly"
El Día En Que Descubres Quién Eres,"Woodson, Jacqueline"
WeirDo Series: Totally Weird!,"Do, Anh"
Yasmin the Painter (Yasmin Series),"Faruqi, Saadia"
Who Was Marie Curie? (Who was...? Series),"Stine, Megan"
From the Stars in the Sky to the Fish in the Sea,"Thom, Kai Cheng"
Stella Díaz Has Something to Say (Stella Díaz Series),"Dominguez, Angela"
Amal Unbound,"Saeed, Aisha"
Our Favorite African Adrinkra Symbols: A Coloring Book,"Walker, Abena"
So You Want to Talk About Race,"Oluo, Ijeoma"
Beyond Theory: A Blueprint to Implement African-Centered Education,"Walker, Abena"
Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),"Higginbotham, Anastasia"
Pedagogy of the Oppressed,"Freire, Paulo"
My Hair is a Garden,"Cabrera, Cozbi A."
I Am Enough,"Byers, Grace"
Campfire Stories (Desmond Cole Ghost Patrol Series),"Miedoso, Andrés"
Who Is Michelle Obama? (Who was...? Series),"Stine, Megan"
King & Kayla and the Case of the Gold Ring (King & Kayla Series),"Butler, Dori Hillestad"
"Not Light, but Fire: How to Lead Meaningful Race Conversations in the Classroom","Kay, Matthew R."
Yasmin the Recycler (Yasmin Series),"Faruqi, Saadia"
On the Come Up,"Thomas, Angie"
Planet Omar: Accidental Trouble Magnet (Planet Omar Series),"Mian, Zanib"
Hope and Healing in Urban Education: How Urban Activists and Teachers are Reclaiming Matters of the Heart,"Ginwright, Shawn A."
For Black Girls Like Me,"Lockington, Mariama J."
Who Is Barack Obama? (Who was...? Series),"Edwards, Roberta"
Lola at the Library (Lola Series),"McQuinn, Anna"
Carmela Full of Wishes,"de la Peña, Matt"
Front Desk (Front Desk Series),"Yang, Kelly"
I Love My Hair,"Tarpley, Natasha Anastasia"
¡Vámonos! Let's Go!,"Lainez, Rene Colato"
El color de la piel,"La Grotteria, Coni"
Early Sunday Morning,"Millner, Denene"
Brown Girl Dreaming,"Woodson, Jacqueline"
Last Stop on Market Street,"de la Peña, Matt"
Imani's Moon,"Brown-Wood, JaNay"
Dreamers,"Morales, Yuyi"
The Guide for White Women Who Teach Black Boys,"Moore Jr., Eddie"
New Kid,"Craft, Jerry"
Keena Ford and the Second Grade Mix Up (Keena Ford Series),"Thomson, Melissa"
For White Folks Who Teach in the Hood... and the Rest of Y'all Too: Reality Pedagogy and Urban Education,"Emdin, Christopher"
Ruby Flips For Attention (Ruby and the Booker Boys Series),"Barnes, Derrick"
Who Was Susan B. Anthony? (Who was...? Series),"Pollack, Pam"
Why Are All the Black Kids Sitting Together in the Cafeteria?: And Other Conversations About Race,"Tatum, Beverly Daniel"
Squanto's Journey: The Story of the First Thanksgiving,"Bruchac, Joseph"
Lola Levine: Drama Queen (Lola Levine Series),"Brown, Monica"
Who Is Malala Yousafzai? (Who was...? Series),"Brown, Dinah"
Radiant Child: The Story of Young Artist Jean-Michel Basquiat,"Steptoe, Javaka"
Don't Touch My Hair!,"Miller, Sharee"
Escuchando con mi Corazón: Un cuento de bondad y autocompasión (Listening to My Heart),"Garcia, Gabi"
"Elizabeth Blackwell, the First Woman Doctor","Sabin, Francene"
Enough! 20 Protesters Who Changed America,"Easton, Emily"
"Culturally Responsive Teaching: Theory, Research, and Practice","Gay, Geneva"
The Hula-Hoopin' Queen,"Godin, Thelma Lynne"
Hector's Hiccups (Sofía Martínez Series),"Jules, Jacqueline"
Locked Up for Freedom: Civil Rights Protesters at the Leesburg Stockade,"Schwartz, Heather E."
When the Beat Was Born: DJ Kool Herc and the Creation of Hip Hop,"Hill, Laban Carrick"
Luis Munoz Marin (Community Builders),"George, Linda"
Ghosts in the Schoolyard: Racism and School Closings on Chicago's South Side,"Ewing, Eve L."
Cece Loves Science (Cece Loves Science Series),"Derting, Kimberly"
Nelson Mandela,"Nelson, Kadir"
Malala: My Story of Standing Up for Girls' Rights,"Yousafzai, Malala"
WeirDo Series: Tasty Weird!,"Do, Anh"
"Maya Angelou (Little People, Big Dreams Series)","Kaiser, Lisbeth"
Young Gifted and Black: Meet 52 Black Heroes from Past and Present,"Wilson, Jamia"
American Street,"Zoboi, Ibi"
Black Youth Rising: Activism and Radical Healing in Urban America,"Ginwright, Shawn A."
My Fantástica Family (Sofía Martínez Series),"Jules, Jacqueline"
"Mango, Abuela, and Me","Medina, Meg"
White Rage: The Unspoken Truth of Our Racial Divide,"Anderson, Carol"
Jack (Not Jackie),"Silverman, Erica"
"Get Up, Stand Up","Marley, Bob"
WeirDo Series: Super Weird!,"Do, Anh"
The Skin You Live In,"Tyler, Michael"
The Deaf Musicians,"Seeger, Pete"
The Doctor with an Eye for Eyes: The Story of Dr. Patricia Bath,"Mosca, Julia Finley"
WeirDo Series: Vote Weirdo,"Do, Anh"
Lola Goes to School (Lola Series),"McQuinn, Anna"
We Are Grateful: Otsaliheliga,"Sorell, Traci"
Who Was Sojourner Truth? (Who was...? Series),"Zeldis McDonough, Yona"
Who Is Sonia Sotomayor? (Who was...? Series),"Stine, Megan"
Lucky Broken Girl,"Behar, Ruth"
Faith Ringgold (Getting to Know the World's Greatest Artists),"Venezia, Mike"
My Friend Maya Loves to Dance,"Hudson, Cheryl Willis"
Yasmin the Singer (Yasmin Series),"Faruqi, Saadia"
Mrs. Katz and Tush,"Polacco, Patricia"
A Splash of Red: The Life and Art of Horace Pippin,"Bryant, Jen"
A Boy Called Bat (A Boy Called Bat Series),"Arnold, Elana K."
Yasmin the Explorer (Yasmin Series),"Faruqi, Saadia"
Teaching Truly: A Curriculum to Indigenize Mainstream Education,"Jacobs, Donald Trent"
The Secret Recipe (Sofía Martínez Series),"Jules, Jacqueline"
Freedom in Congo Square,"Weatherford, Carole Boston"
Mindy Kim and the Lunar New Year Parade (Mindy Kim Series),"Lee, Lyla"
An African American and Latinx History of the United States,"Ortiz, Paul"
Who Was Rachel Carson? (Who was...? Series),"Fabiny, Sarah"
Slumber Party Payback (Ruby and the Booker Boys Series),"Barnes, Derrick"
The Dreamkeepers: Successful Teachers of African American Children,"Ladson-Billings, Gloria"
Saving Ruby King,"West, Catherine Adel"
The Story of Ruby Bridges,"Coles, Robert"
The Year of the Book (Anna Wang Series),"Cheng, Andrea"
Grace Hopper: Queen of Computer Code,"Wallmark, Laurie"
25 Women Who Thought of It First,"Sherman, Jill"
"Now Museum, Now You Don't (Desmond Cole Ghost Patrol Series)","Miedoso, Andrés"
The Magical Yet,"DiTerlizzi, Angela"
"Jasmine Toguchi, Super Sleuth (Jasmine Toguchi Series)","Florence, Debbi Michiko"
"Born Out of Struggle: Critical Race Theory, School Creation, and the Politics of Interruption","Stovall, David Omotoso"
"Thank You, Omu!","Mora, Oge"
Our Class is a Family,"Olsen, Shannon"
WeirDo Series: Mega Weird!,"Do, Anh"
The Case for Loving: The Fight for Interracial Marriage,"Alko, Selina"
The Butterfly,"Polacco, Patricia"
Yasmin the Soccer Star (Yasmin Series),"Faruqi, Saadia"
