book_title,ban_date,avg_search_before,avg_search_after,max_search_before,max_search_after,min_search_before,min_search_after,percent_change,absolute_change,volatility,data_collected,collection_successful,state,error
The Perks of Being a Wallflower,2022-04-01,61.51,45.2,100.0,100.0,33.0,27.0,-26.52,-16.31,15.01,2026-02-05 21:55:10,True,South Dakota,
Dead Until Dark (Sookie Stackhouse Series),2022-04-01,0.0,2.08,0.0,100.0,0.0,0.0,inf,2.08,13.82,2026-02-05 21:55:14,True,Florida,
The Circle (The Circle Series),2022-04-01,3.87,14.88,100.0,100.0,0.0,0.0,284.77,11.01,25.13,2026-02-05 21:55:24,True,South Dakota,
More Happy Than Not,2022-04-01,16.12,24.67,100.0,100.0,0.0,0.0,53.0,8.54,30.96,2026-02-05 21:55:39,True,Florida,
Blended,2022-04-01,56.41,60.5,100.0,100.0,40.0,50.0,7.25,4.09,9.04,2026-02-05 21:55:44,True,Texas,
Let Me Hear a Rhyme,2022-04-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 21:55:54,True,Mississippi,
The Vincent Boys (The Vincent Boys Series),2022-04-01,1.88,0.0,100.0,0.0,0.0,0.0,-100.0,-1.88,12.67,2026-02-05 21:56:47,True,Florida,
Daddy's Roommate,2022-04-01,0.0,2.12,0.0,100.0,0.0,0.0,inf,2.12,14.09,2026-02-05 21:56:52,True,Florida,
The Scottsboro Boys,2022-04-01,9.91,9.52,100.0,100.0,0.0,0.0,-3.92,-0.39,25.16,2026-02-05 21:57:04,True,Iowa,
This One Summer,2022-04-01,33.52,50.53,100.0,100.0,0.0,0.0,50.75,17.01,26.87,2026-02-05 21:57:20,True,Florida,
"Girl, Woman, Other",2022-04-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 21:57:30,True,South Dakota,
Normal People,2022-04-01,68.64,62.73,100.0,100.0,49.0,44.0,-8.61,-5.91,9.58,2026-02-05 21:57:36,True,Florida,
Uglies (Uglies Series),2022-04-01,2.13,1.11,100.0,100.0,0.0,0.0,-47.92,-1.02,12.47,2026-02-05 21:57:41,True,Mississippi,
American Born Chinese,2022-04-01,11.62,34.32,100.0,100.0,0.0,0.0,195.32,22.7,26.99,2026-02-05 21:57:46,True,Mississippi,
Triangles,2022-04-01,57.49,55.91,100.0,100.0,22.0,23.0,-2.74,-1.58,21.64,2026-02-05 21:57:51,True,Texas,
Discovering Wes Moore,2022-04-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 21:58:06,True,Mississippi,
